timestamp;filter_size;dropout;rotation_output_angle_error;rotation_output_loss;shape_output_accuracy;shape_output_loss;size_output_accuracy;size_output_loss
1599575441.7404628;25;0.1;27.723251;2.2387538;0.90228635;0.28060025;0.96717125;0.090586774
1599576134.6765742;25;0.2;30.74386;2.438254;0.873541;0.36376283;0.9553813;0.12236589
1599576833.9080222;25;0.3;35.851807;2.6381476;0.8381626;0.4675336;0.9391655;0.1649767
1599577544.6735344;25;0.4;39.7715;2.7678246;0.80862445;0.5558824;0.9213122;0.20984694
1599578257.5536454;25;0.5;49.03196;2.9980989;0.74658704;0.7257469;0.90043885;0.25910562
1599578980.8506916;25;0.6;63.983864;3.3067403;0.658482;0.9381944;0.8726216;0.31691545
1599579856.1717448;50;0.1;20.149801;1.6858337;0.9409324;0.1681746;0.981082;0.052426986
1599580736.3062606;50;0.2;23.648989;1.9952998;0.92396116;0.21916197;0.97444314;0.07115276
1599581566.2896879;50;0.3;25.903263;2.1947641;0.90755105;0.26836953;0.9678029;0.09142623
1599582370.2155192;50;0.4;28.523184;2.3723948;0.88921297;0.32407245;0.9597151;0.1140433
1599583176.918638;50;0.5;31.80525;2.5448666;0.8671712;0.39210495;0.94977844;0.1400881
1599583985.325061;50;0.6;37.437397;2.7516627;0.8305439;0.4980131;0.9348259;0.17892621
1599585043.661845;75;0.1;16.061724;1.348529;0.95606333;0.12421079;0.9863712;0.03782694
1599586101.5548077;75;0.2;19.69759;1.6742644;0.9410878;0.16945812;0.9802417;0.055536576
1599587156.8084638;75;0.3;22.334152;1.9198253;0.9287712;0.20667408;0.97562736;0.06928681
1599588220.9694126;75;0.4;24.69984;2.1362176;0.91425323;0.24943987;0.9698748;0.08618175
1599589293.8124938;75;0.5;27.146822;2.3293948;0.89903885;0.29820672;0.9636029;0.1044747
1599590364.9003277;75;0.6;30.750937;2.529739;0.87382305;0.37319833;0.9534029;0.13216673
1599591623.2743897;100;0.1;12.941068;1.090179;0.9647583;0.098518744;0.9889957;0.030595709
1599592876.0572033;100;0.2;16.711258;1.4257987;0.95190936;0.13891806;0.9838705;0.04535065
1599594135.6509879;100;0.3;19.783024;1.698693;0.939659;0.17509858;0.97974676;0.057973105
1599595404.7916412;100;0.4;22.334543;1.9474716;0.92809784;0.21071698;0.9749223;0.07221007
1599596670.7394595;100;0.5;24.61778;2.1578674;0.914882;0.25160784;0.9697784;0.0872102
1599597937.4820123;100;0.6;27.480492;2.3841176;0.89547193;0.3100395;0.9622532;0.108335756
1599599463.417164;125;0.1;10.591673;0.9061331;0.9709237;0.08185308;0.99085754;0.02552695
1599600992.9866316;125;0.2;14.457743;1.2390797;0.95830506;0.12022305;0.9862187;0.038935736
1599602532.1814103;125;0.3;17.656494;1.520022;0.9469928;0.15391278;0.98222876;0.051104445
1599604072.8891346;125;0.4;20.388424;1.7714937;0.9360259;0.18651593;0.9780029;0.063174665
1599605616.9534695;125;0.5;22.945143;2.0264552;0.92413384;0.22239909;0.97353095;0.076625206
1599607164.620028;125;0.6;25.531713;2.2632756;0.90867484;0.2689034;0.96741295;0.093771756
1599609314.4365535;150;0.1;9.2041025;0.7871138;0.97492373;0.070599906;0.9919554;0.022252629
1599611480.8103;150;0.2;12.758362;1.0936831;0.9628101;0.106916666;0.98795396;0.034379333
1599613645.1561744;150;0.3;16.018616;1.3797339;0.952236;0.13817254;0.9842288;0.04526391
1599615838.5363426;150;0.4;19.046896;1.6570458;0.94158703;0.17049989;0.9798806;0.057655517
1599618023.8744137;150;0.5;21.35953;1.888181;0.93110216;0.20182124;0.9759122;0.06953533
1599620205.5331917;150;0.6;24.048857;2.1411836;0.9172317;0.24486956;0.9706345;0.084709205
1599622648.1718345;175;0.1;7.895465;0.6809939;0.9781928;0.061764367;0.99301004;0.019763276
1599625093.7382078;175;0.2;11.47371;0.9882217;0.96630794;0.09717931;0.9890216;0.031172933
1599627543.9108543;175;0.3;14.673552;1.2713802;0.9560892;0.12769236;0.98514676;0.042253073
1599629999.213823;175;0.4;17.54707;1.5260702;0.9463252;0.15770027;0.9816259;0.052909397
1599632452.6381962;175;0.5;20.27067;1.7841005;0.93637985;0.18668489;0.9777698;0.06366049
1599634927.0393136;175;0.6;22.993174;2.0501328;0.92270935;0.22826874;0.972659;0.078962915
1599637759.1977804;200;0.1;6.9425044;0.60554796;0.98047626;0.05522136;0.99350506;0.018332662
1599640596.2728896;200;0.2;10.283828;0.8891893;0.9695281;0.08762729;0.9900115;0.028556766
1599643628.3211749;200;0.3;13.4593725;1.1671925;0.9593583;0.11843067;0.98633814;0.038956475
1599646758.6148007;200;0.4;16.326572;1.423315;0.94970936;0.14670277;0.9828964;0.049342796
1599677280.4439507;700;0.1;3.4220567;0.34582508;0.9890734;0.032913215;0.99610645;0.01215618
1599691832.728083;500;0.1;3.2891374;0.3276304;0.98931223;0.03164563;0.996377;0.01077371
1599703030.900889;500;0.2;5.359656;0.50263125;0.98225754;0.052167505;0.99436545;0.016297916
1599714223.8183637;500;0.3;7.792321;0.7090505;0.97391945;0.07663386;0.9914964;0.024798531
1599725258.8258138;500;0.4;10.23003;0.92043245;0.9658748;0.10043314;0.98863596;0.033180263
1599735737.12129;500;0.5;13.279131;1.1877856;0.95649207;0.12917663;0.9850907;0.04313842
1599746516.440121;500;0.6;16.360472;1.469611;0.9477266;0.15628248;0.9815784;0.05361818
1599756836.471364;475;0.1;3.3353662;0.3274868;0.9890705;0.032644603;0.9963022;0.010733895
1599767172.8468437;475;0.2;5.415728;0.50540906;0.98204607;0.052405838;0.9944043;0.016114475
1599777486.4774165;475;0.3;8.172978;0.7447202;0.97301006;0.07972827;0.9912993;0.025450986
1599787645.7008467;475;0.4;10.852733;0.97033894;0.9650043;0.10386227;0.98819566;0.03395471
1599797754.5825965;475;0.5;13.380604;1.2003633;0.9564734;0.1283171;0.98509926;0.043920483
1599807963.2412758;475;0.6;16.562534;1.4846483;0.9469799;0.15780236;0.98137987;0.054344505
1599814969.8903613;300;0.1;4.795524;0.4397069;0.9854777;0.041978445;0.99513096;0.013968141
1599820260.8904254;300;0.2;7.650557;0.6792493;0.9762532;0.0688001;0.9924245;0.02164696
1599825398.156182;300;0.3;10.415523;0.9165314;0.9670446;0.09566231;0.9893698;0.031306766
